Neighbourhood ID,Neighbourhood Name,# of people with hypertension 2016/17 (Age 20-44),Total Population 2016 (Age 20-44),# of people with hypertension 2016/17 (Age 45-64),Total Population 2016 (Age 45-64),# of people with hypertension 2016/17 (Age 65+),Total Population 2016 (Age 65+)
1,West Humber-Clairville,703,13291,3741,9663,3959,5176
2,Mount Olive-Silverstone-Jamestown,789,12906,3578,8815,2927,3902
3,Thistletown-Beaumond Heights,220,3631,1047,2829,1349,1767
4,Rexdale-Kipling,201,3669,1134,3229,1393,1854
5,Elms-Old Rexdale,176,3353,1040,2842,948,1322
6,Kingsview Village-The Westway,444,8444,2190,6441,2730,3796
7,Willowridge-Martingrove-Richview,398,6692,1982,6123,3409,4542
8,Humber Heights-Westmount,223,4158,1279,3846,2417,3170
9,Edenbridge-Humber Valley,160,3900,1106,4071,1865,2727
10,Princess-Rosethorn,127,3218,976,3679,1271,1998
11,Eringate-Centennial-West Deane,258,5976,1991,6193,2868,3986
12,Markland Wood,129,2801,976,3347,1723,2490
13,Etobicoke West Mall,185,3811,1106,3314,1414,1876
14,Islington-City Centre West,779,17434,3588,12106,5215,7287
15,Kingsway South,66,2602,604,2902,1173,1919
16,Stonegate-Queensway,389,8654,2102,8073,2744,4080
17,Mimico,488,11635,2609,9363,3384,5028
18,New Toronto,187,4208,1071,3332,1103,1566
19,Long Branch,165,3712,920,3232,919,1341
20,Alderwood,205,4222,1253,3868,1568,2077
21,Humber Summit,278,4446,1244,3299,1880,2441
22,Humbermede,391,5860,1675,4289,1748,2283
23,Pelmo Park-Humberlea,154,2862,975,2653,1141,1497
24,Black Creek,468,8139,2244,5911,2256,2872
25,Glenfield-Jane Heights,650,10781,3404,8908,4155,5175
26,Downsview-Roding-CFB,750,12551,3585,10189,4230,5505
27,York University Heights,603,12908,2545,7365,2833,3742
28,Rustic,204,3301,1036,2710,1474,1830
29,Maple Leaf,184,3436,997,2951,1640,2039
30,Brookhaven-Amesbury,384,6691,1887,5237,1734,2272
31,Yorkdale-Glen Park,250,4785,1361,4187,2492,3188
32,Englemount-Lawrence,383,8638,1778,5494,2698,3732
33,Clanton Park,306,5778,1394,4304,1647,2270
34,Bathurst Manor,249,5624,1405,4618,2036,2786
35,Westminster-Branson,449,9721,2530,7772,3688,5035
36,Newtonbrook West,438,9507,2121,7314,2728,3932
37,Willowdale West,185,5627,1072,4145,2129,3104
38,Lansing-Westgate,243,6723,1120,4526,1477,2242
39,Bedford Park-Nortown,266,7763,1501,6894,2298,3666
40,St.Andrew-Windfields,202,6263,1359,6065,2035,3399
41,Bridle Path-Sunnybrook-York Mills,92,3104,648,3366,1261,2131
42,Banbury-Don Mills,348,8338,2086,8313,4558,6740
43,Victoria Village,361,6344,1832,5151,2495,3313
44,Flemingdon Park,440,8725,2014,5930,2262,3262
45,Parkwoods-Donalda,642,12726,3342,10243,3743,5341
46,Pleasant View,231,5553,1395,4956,2313,3286
47,Don Valley Village,406,10429,2034,7616,3137,4606
48,Hillcrest Village,232,5626,1403,5352,3045,4421
49,Bayview Woods-Steeles,142,4190,983,4032,2537,3748
50,Newtonbrook East,191,6435,1220,5003,2085,3206
51,Willowdale East,691,23122,2823,13953,4098,6700
52,Bayview Village,256,7449,1269,5394,2317,3608
53,Henry Farm,193,5208,844,2919,912,1366
54,O'Connor-Parkview,320,6756,1906,5894,1937,2746
55,Thorncliffe Park,469,8184,1608,4561,1632,2279
56,Leaside-Bennington,165,5074,1146,5607,1546,2579
57,Broadview North,206,4626,919,3512,1354,1945
58,Old East York,127,3187,830,2997,1113,1588
59,Danforth-East York,299,6652,1372,5125,1930,2668
60,Woodbine-Lumsden,139,3038,675,2465,716,1086
61,Taylor-Massey,558,8318,1670,5081,1284,1833
62,East End-Danforth,407,8362,1724,6766,1795,2658
63,The Beaches,234,7858,1399,7283,1645,2974
64,Woodbine Corridor,199,5039,946,3852,965,1408
65,Greenwood-Coxwell,260,6487,1136,4388,1187,1727
66,Danforth,133,3814,652,2738,1039,1516
67,Playter Estates-Danforth,107,3139,489,2368,806,1262
68,North Riverdale,137,4566,811,4012,1186,1896
69,Blake-Jones,118,3227,582,2327,505,800
70,South Riverdale,423,12234,1848,7927,2059,3147
71,Cabbagetown-South St. James Town,177,5187,957,4110,1299,2150
72,Regent Park,162,3454,803,2557,504,761
73,Moss Park,384,9295,1552,5791,1110,1830
74,North St. James Town,425,9650,1620,5078,1248,1814
75,Church-Yonge Corridor,499,18804,1991,8243,1947,3298
76,Bay Street Corridor,246,13216,857,4477,1499,2550
77,Waterfront Communities-The Island,829,32876,2232,10338,2695,4569
78,Kensington-Chinatown,203,9659,1159,4654,1958,2791
79,University,92,5039,360,1856,796,1254
80,Palmerston-Little Italy,170,7962,710,3320,1427,2087
81,Trinity-Bellwoods,202,8563,974,4269,1706,2343
82,Niagara,533,17339,1098,4928,883,1473
83,Dufferin Grove,203,6028,768,2979,1199,1696
84,Little Portugal,188,6924,855,3169,1383,1825
85,South Parkdale,376,10556,1731,5997,1699,2547
86,Roncesvalles,201,6875,979,4436,1166,1784
87,High Park-Swansea,287,9426,1387,6562,2207,3572
88,High Park North,291,10141,1293,5910,1930,3146
89,Runnymede-Bloor West Village,140,3848,663,3020,761,1257
90,Junction Area,237,6292,1096,4181,1036,1620
91,Weston-Pellam Park,238,4932,1158,3512,1061,1443
92,Corso Italia-Davenport,241,5892,1184,3982,1530,2021
93,Dovercourt-Wallace Emerson-Junction,545,17590,2596,9534,3340,4566
94,Wychwood,166,5460,915,3714,2004,2876
95,Annex,300,14295,1499,7831,3234,5641
96,Casa Loma,99,4188,623,3176,1664,2826
97,Yonge-St.Clair,132,5051,656,3361,1611,2838
98,Rosedale-Moore Park,192,7020,1287,6782,2742,5139
99,Mount Pleasant East,231,6140,1077,4971,1513,2517
100,Yonge-Eglinton,145,4933,631,3168,895,1615
101,Forest Hill South,123,4043,639,3334,1265,2241
102,Forest Hill North,182,4907,961,3828,1328,2050
103,Lawrence Park South,148,5365,919,4899,1219,2211
104,Mount Pleasant West,507,15297,1720,7359,2689,4266
105,Lawrence Park North,204,4993,914,4626,1152,2015
106,Humewood-Cedarvale,251,6337,978,3829,1292,1961
107,Oakwood Village,382,8225,1786,6098,2803,3695
108,Briar Hill - Belgravia,294,5844,1500,4573,1660,2224
109,Caledonia-Fairbank,181,3943,1018,3049,1045,1361
110,Keelesdale-Eglinton West,188,3914,1094,3115,1258,1664
111,Rockcliffe-Smythe,404,7988,2360,6715,2703,3692
112,Beechborough-Greenbrook,135,2438,675,1952,798,1008
113,Weston,456,7061,2101,5656,1927,2540
114,Lambton Baby Point,124,2793,597,2460,669,1056
115,Mount Dennis,315,5147,1488,4088,1289,1743
116,Steeles,370,8297,2326,7737,3988,5530
117,L'Amoreaux,687,14981,4341,13668,6563,8919
118,Tam O'Shanter-Sullivan,478,9191,2614,7878,4367,5937
119,Wexford/Maryvale,538,9586,2985,8462,3553,4580
120,Clairlea-Birchmount,650,9888,2874,7951,2610,3487
121,Oakridge,439,5535,1556,4036,1183,1585
122,Birchcliffe-Cliffside,370,7317,2268,7648,2604,3785
123,Cliffcrest,302,5111,1782,5204,1874,2629
124,Kennedy Park,458,6088,2314,5533,2015,2590
125,Ionview,441,5557,1637,4014,1449,1882
126,Dorset Park,567,8969,2787,7545,2784,3633
127,Bendale,593,10721,2888,7917,3917,5184
128,Agincourt South-Malvern West,351,7244,2073,6943,2978,4090
129,Agincourt North,430,9698,2927,9185,4489,6196
130,Milliken,417,8970,2574,8183,3864,5274
131,Rouge,967,16028,5561,13670,4976,6640
132,Malvern,995,16526,5151,12696,4866,6418
133,Centennial Scarborough,211,4261,1384,4143,1712,2449
134,Highland Creek,209,4432,1601,3993,1831,2453
135,Morningside,367,6438,2117,5111,2163,2808
136,West Hill,624,9570,3422,8386,3051,4067
137,Woburn,1267,20139,5593,14439,6121,8052
138,Eglinton East,574,8042,2689,6491,2740,3497
139,Scarborough Village,416,5888,1859,4747,1727,2243
140,Guildwood,132,2719,996,3022,1838,2475